,세대,인구수,세대당인구,65세이상고령자,고령비율,스타벅스,스벅비율
강남구,230752,547602,2.35,69011,12.602401013875042,76,138.7869291931001
강동구,177368,428547,2.39,60657,14.154106784086693,13,30.335062431891952
강북구,143650,319377,2.2,59189,18.5326432398075,5,15.655479261186622
강서구,261383,602230,2.28,81965,13.6102485761254,14,23.246932235192535
관악구,266692,519864,1.88,73693,14.175438191527014,10,19.235800132342305
광진구,163914,369470,2.16,46773,12.659485208541966,14,37.892115733347765
구로구,174505,439328,2.32,64028,14.574076771796927,10,22.762036564935535
금천구,109708,254061,2.13,36727,14.455977107859924,10,39.36062599139577
노원구,217462,542603,2.48,79046,14.567925352421568,12,22.11561675847719
도봉구,138460,339001,2.43,57367,16.92236896056354,2,5.89968761154097
동대문구,162851,363101,2.13,58078,15.994998636742944,8,22.032437255749777
동작구,180463,412000,2.21,61009,14.808009708737865,9,21.844660194174757
마포구,173845,385985,2.15,51613,13.3717631514178,32,82.90477609233518
서대문구,140007,324304,2.22,51367,15.839150920124329,21,64.75405792096305
서초구,172907,435631,2.49,55853,12.821172046984719,45,103.29843376619203
성동구,136872,312991,2.23,43370,13.856628465355234,9,28.75482042614644
성북구,190253,452292,2.31,69341,15.331025089986113,11,24.32057166609182
송파구,278223,686181,2.44,84740,12.349511280551342,29,42.26290147934729
양천구,177045,465095,2.6,59731,12.842752555929435,14,30.101377138004064
영등포구,173701,404229,2.12,56891,14.073953130527498,35,86.58458448057908
용산구,109692,245069,2.09,38259,15.611521653085457,17,69.36821874655708
은평구,207123,488285,2.34,79282,16.236828901154038,8,16.383874171846358
종로구,73828,162413,2.06,27155,16.71972071201197,39,240.1285611373474
중구,62156,136276,2.03,22749,16.693328245619185,50,366.90246264932927
중랑구,181383,405639,2.21,63670,15.696222503260287,6,14.79147715086567
